[2026-08-29T11:48:08.533Z] GET http://localhost:5173/src/utils/currency.ts → 200 (?ms, 6670B)
[2026-08-29T11:48:08.533Z] GET http://localhost:5173/src/features/site/types/site.ts → 200 (?ms, 12388B)
[2026-08-29T11:48:08.818Z] GET https://fonts.gstatic.com/s/hankengrotesk/v12/ieVn2YZDLWuGJpnzaiwFXS9tYtpT59CxCis4UvI.woff2 → 200 (69ms, 19572B)
[2026-08-29T11:48:10.589Z] GET http://localhost:5173/contact → 200 (2ms, 1474B)
[2026-08-29T11:48:10.596Z] GET http://localhost:5173/@vite/client → 304 (4ms, ?B)
[2026-08-29T11:48:10.596Z] GET https://fonts.googleapis.com/css2?family=Hanken+Grotesk:ital,wght@0,100..900;1,100..900&family=JetBrains+Mono:wght@100..800&display=swap → 200 (?ms, 5691B)
[2026-08-29T11:48:10.600Z] GET http://localhost:5173/src/main.tsx?t=1788004076928 → 304 (2ms, ?B)
[2026-08-29T11:48:10.600Z] GET http://localhost:5173/@react-refresh → 304 (5ms, ?B)
[2026-08-29T11:48:10.600Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (5ms, ?B)
[2026-08-29T11:48:10.602Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=f2626067 → 200 (?ms, 130087B)
[2026-08-29T11:48:10.603Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=26ac7876 → 200 (?ms, ?B)
[2026-08-29T11:48:10.603Z] GET http://localhost:5173/src/app/providers/index.tsx?t=1788004076928 → 304 (3ms, ?B)
[2026-08-29T11:48:10.603Z] GET http://localhost:5173/src/index.css?t=1788004076928 → 304 (3ms, ?B)
[2026-08-29T11:48:10.603Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=f2626067 → 200 (?ms, ?B)
[2026-08-29T11:48:10.605Z] GET http://localhost:5173/node_modules/.vite/deps/rolldown-runtime-DC62tzP2.js?v=7a230318 → 200 (?ms, ?B)
[2026-08-29T11:48:10.605Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=f2626067 → 200 (?ms, ?B)
[2026-08-29T11:48:10.606Z] GET http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=d108ce7a → 200 (?ms, ?B)
[2026-08-29T11:48:10.607Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=f7649339 → 200 (?ms, ?B)
[2026-08-29T11:48:10.607Z] GET http://localhost:5173/node_modules/.vite/deps/sonner.js?v=001df232 → 200 (?ms, ?B)
[2026-08-29T11:48:10.607Z] GET http://localhost:5173/src/app/router/index.tsx?t=1788004076928 → 304 (?ms, ?B)
[2026-08-29T11:48:10.607Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-runtime.js?v=f2626067 → 200 (?ms, ?B)
[2026-08-29T11:48:10.608Z] GET http://localhost:5173/src/constants/routes.ts → 304 (?ms, ?B)
[2026-08-29T11:48:10.608Z] GET http://localhost:5173/src/components/ui/spinner.tsx → 304 (?ms, ?B)
[2026-08-29T11:48:10.608Z] GET http://localhost:5173/src/app/router/protected-route.tsx → 304 (1ms, ?B)
[2026-08-29T11:48:10.608Z] GET http://localhost:5173/src/components/layout/app-shell.tsx?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:10.608Z] GET http://localhost:5173/src/components/layout/site-shell.tsx?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:10.609Z] GET http://localhost:5173/src/utils/cn.ts → 304 (1ms, ?B)
[2026-08-29T11:48:10.609Z] GET http://localhost:5173/src/store/auth.ts → 304 (1ms, ?B)
